1881,HSBC CREDIT CARD
1882,STANDARD CHARTERED CREDIT CARD
1883,THE RATNAKAR BANK LIMITED CREDIT CARD
1884,SHREYAS GRAMIN BANK
1885,"STATE BANK OF HYDERABAD, DECCAN GRAMEENA BANK"
1886,ZILA SAHKARI BANK LTD GHAZIABAD
1887,banda district co-operative bank ltd
1888,ADITYA BIRLA IDEA PAYMENTS BANK
1889,RAJARAM BAPU SAHAKARI BANK LTD
1890,THE HYDERABAD DISTRICT CO OPERATIVE CENTRAL BANK
1891,DENA GUJARAT GRAMIN BANK
1892,District Cooperative Bank limited
1893,SATPURA NARMADA KSHETRIYA GRAMIN BANK
1894,THE RAJASTHAN STATE COOPERATIVE BANK LTD
1895,DBS
1896,TAMILNADU GRAMA BANK
1897,Lakshmi Vilas bank
1898,THE HINDUSTHAN CO OP BANK LIMITED
1899,NATIONAL URBAN COOPERATIVE BANK LIMITED
1900,IndusInd Bank CREDIT CARD
1901,KRISHNA GRAMEENA BANK
1903,MANIPUR RURAL BANK
1904,MANIPUR RURAL BANK
1906,MEWAR AANCHALIK GRAMIN BANK
1907,PUNE MERCHANTS CO-OPERATIVE BANK LTD
1908,ABHINANDAN URBAN CO-OP BANK LTD
1909,NARMADA JHABUA GRAMIN BANK
1910,District Co Operative Bank Ltd Faizabad
1912,SARVODAYA SAH BANK
1913,DENA GUJARAT GRAMIN BANK
1914,JANA SMALL FINANCE BANK LTD
1915,ZILA SAHKARI BANK LTD MUZAFFARNAGAR
1916,AURANGABAD DCC BANK HO
1918,PRIYADARSHANI NAGARI SAHAKARI BANK LTD
1919,Kaveri Grameena Bank
1920,The Navnirman Co - Op. Bank Ltd.
1921,THE BHIWANI CENTRAL COOPERATIVE BANK LTD
1922,"UNITED BANK OF INDIA, LANGPI DEHANGI RURAL BANK, D"
1923,Nainital District Cooperative Bank
1924,SIKKIM STATE CO-OPERATIVE BANK LTD
1925,SHIVAJI NAGARI PAITHAN
1927,BIHAR GRAMIN BANK
1929,NAGAR URBAN CO OPERATIVE BANK
